ID đơn hàng,ID sản phẩm,Tên sản phẩm,Sku,Id Sku,Sku người bán,Giá,Payment Amount,Đơn vị tiền tệ,Số lượng,Phương thức thanh toán,Trạng thái đơn hàng,Tên người dùng nhà sáng tạo,Loại nội dung,Id nội dung,commission model,Tỷ lệ khấu trừ Thuế TNCN,Thuế TNCN ước tính,Thuế TNCN thực tế ,Tỷ lệ hoa hồng tiêu chuẩn,Cơ sở hoa hồng ước tính,Thanh toán hoa hồng tiêu chuẩn ước tính,Cơ sở hoa hồng thực tế,Thanh toán hoa hồng thực tế,Tỷ lệ hoa hồng Quảng cáo cửa hàng,Thanh toán hoa hồng Quảng cáo cửa hàng ước tính,Thanh toán hoa hồng Quảng cáo cửa hàng thực tế,Thưởng đồng chi trả cho nhà sáng tạo ước tính,Thưởng đồng chi trả cho nhà sáng tạo thực tế,Trả hàng & hoàn tiền,Hoàn tiền,Thời gian đã tạo,Thời gian thanh toán,Thời gian sẵn sàng vận chuyển,Order Delivery Time,Thời gian hoàn thành đơn hàng,Thời gian hoa hồng đã thanh toán,Platform,agreement_type
580759948494275961,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ A- Đen, XS",1731840098899756600,,209000,275200,VND,1,Thanh toán khi giao hàng,Đang xử lý,anhlinh.emhuong,Video,7546958293659340050,fixed commission,,,,10,209000,20900,,,,,,,,0,0,14/10/2025 01:03:10,16/10/2025 23:04:29,14/10/2025 01:03:11,16/10/2025 23:04:29,,19/10/2025 10:45:23,TTS,Open/Target Collaboration
580759951886287893,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ T- Đen, M",1731840122178078264,,179760,444760,VND,2,Không áp dụng thanh toán khi giao hàng,Đang xử lý,lamyeumeynhattrandoi,Video,7550298046932765970,fixed commission,,,,10,359520,35952,,,,,,,,0,0,14/10/2025 01:04:24,14/10/2025 01:04:59,14/10/2025 01:04:59,17/10/2025 10:55:05,,20/10/2025 11:00:00,TTS,Open/Target Collaboration
580759972153099450,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ A- Đen, S",1731840098899822136,,179760,262600,VND,1,Thanh toán khi giao hàng,Đang xử lý,anhlinh.emhuong,Video,7546958293659340050,fixed commission,,,,10,179760,17976,,,,,,,,0,0,14/10/2025 01:07:34,17/10/2025 14:36:07,14/10/2025 01:07:35,17/10/2025 14:36:07,,20/10/2025 11:07:52,TTS,Open/Target Collaboration
580759972153099450,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ H- Đen, S",1731840098901132856,,175560,262600,VND,1,Thanh toán khi giao hàng,Đang xử lý,anhlinh.emhuong,Video,7546958293659340050,fixed commission,,,,10,175560,17556,,,,,,,,0,0,14/10/2025 01:07:34,17/10/2025 14:36:07,14/10/2025 01:07:35,17/10/2025 14:36:07,,20/10/2025 11:07:52,TTS,Open/Target Collaboration
580760207021081768,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ K -Trắng, L",1731954461919315512,,184040,271200,VND,1,Thanh toán khi giao hàng,Đang xử lý,lamyeumeynhattrandoi,Video,7559584920985718023,fixed commission,,,,10,184040,18404,,,,,,,,0,0,14/10/2025 02:15:50,15/10/2025 17:39:33,14/10/2025 02:15:51,15/10/2025 17:39:33,,18/10/2025 09:24:36,TTS,Open/Target Collaboration
580760387563980670,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ V- Đen, L",1731840122177816120,,175560,260100,VND,1,Thanh toán khi giao hàng,Đang xử lý,duwn216,Video,7560696188341603605,fixed commission,,,,10,175560,17556,,,,,,,,0,0,14/10/2025 03:37:02,17/10/2025 19:15:03,14/10/2025 03:37:03,17/10/2025 19:15:03,,20/10/2025 11:53:35,TTS,Open/Target Collaboration
580760387563980670,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ D- Trắng, XL",1731840098897069624,,179760,260100,VND,1,Thanh toán khi giao hàng,Đang xử lý,duwn216,Video,7560696188341603605,fixed commission,,,,10,179760,17976,,,,,,,,0,0,14/10/2025 03:37:02,17/10/2025 19:15:03,14/10/2025 03:37:03,17/10/2025 19:15:03,,20/10/2025 11:53:35,TTS,Open/Target Collaboration
580760448576816179,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ T- Trắng, XS",1731840098899428920,,179740,285000,VND,1,Không áp dụng thanh toán khi giao hàng,Đang xử lý,sun.thichngu,Chương trình Lưu lượng truy cập bên ngoài,,fixed commission,,,,8,179740,14379,,,,,,,,0,0,14/10/2025 04:07:48,14/10/2025 04:07:50,14/10/2025 04:07:50,16/10/2025 13:29:24,,19/10/2025 12:15:04,TTS,Open/Target Collaboration
580760479752488528,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ H- Đen, XS",1731840098901067320,,214000,264700,VND,1,Không áp dụng thanh toán khi giao hàng,Đang xử lý,khainhung61,Video,7559929358131940626,fixed commission,,,,,214000,,,,5,10700,,,,0,0,14/10/2025 04:16:01,14/10/2025 04:16:06,14/10/2025 04:16:07,15/10/2025 11:50:57,,18/10/2025 09:01:48,TTS,Open/Target Collaboration
580760480016008784,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ N- Đen, S",1731840122176702008,,184040,280200,VND,1,Không áp dụng thanh toán khi giao hàng,Đang xử lý,khainhung61,Video,7559929358131940626,fixed commission,,,,,184040,,,,5,9202,,,,0,0,14/10/2025 04:18:28,14/10/2025 04:18:31,14/10/2025 04:18:32,15/10/2025 16:01:18,,18/10/2025 07:57:14,TTS,Open/Target Collaboration
